type,symbol,exchangeId,localSymbol,description,conid,underConid,isin,cusip,currency,country,isPrimeExchId,isNewPdt,assocEntityId,fcConid
STK,EVN,ASXCEN,EVN,EVOLUTION MINING LTD,96616475,,AU000000EVN4,Q3647R147,AUD,AU,,F,e1439158,1
STK,EVO,CHIXAU,EVO,EMBARK EARLY EDUCATION LTD,642686560,,AU0000289134,Q3668S107,AUD,AU,,F,e5252824,1
STK,EVR,CHIXAU,EVR,EV RESOURCES LTD,531677448,,AU0000196206,Q3648H106,AUD,AU,,F,e1439120,1
STK,EVT,ASX,EVT,EVT LTD,216171904,,AU000000EVT1,Q3663F100,AUD,AU,T,F,e1442127,1
STK,EVZ,ASX,EVZ,EVZ LTD,44201018,,AU000000EVZ8,Q3542W100,AUD,AU,T,F,e1438860,1
STK,EWC,ASXCEN,EWC,ENERGY WORLD CORP LTD,44200890,,AU000000EWC5,Q35136169,AUD,AU,,F,e1438831,1
# STK,EWCNA,ASX,EWCNA,ENERGY WORLD CORP-NEW SHARES,484598702,,AU0000141442,,AUD,AU,T,F,e1438831,1
STK,EXL,ASXCEN,EXL,ELIXINOL WELLNESS LTD,301916290,,AU000000EXL4,Q34632101,AUD,AU,,F,e3275928,1
STK,EXP,CHIXAU,EXP,EXPERIENCE CO LTD,292591000,,AU000000EXP5,Q3658G113,AUD,AU,,F,e2784415,1
STK,EXR,ASX,EXR,ELIXIR ENERGY LTD,44200895,,AU000000EXR1,Q3463Q207,AUD,AU,T,F,e1403794,1
STK,EXT,ASXCEN,EXT,EXCITE TECHNOLOGY SERVICES L,652809766,,AU0000295693,Q3672K108,AUD,AU,,F,e1439095,1
STK,EYE,CHIXAU,EYE,NOVA EYE MEDICAL LTD,431449635,,AU0000094252,Q69076109,AUD,AU,,F,e1402266,1
STK,EZL,ASX,EZL,EUROZ HARTLEYS GROUP LTD,600540235,,AU000000EZL9,Q3657R102,AUD,AU,T,F,e1442357,1
STK,EZZ,CHIXAU,EZZ,EZZ LIFE SCIENCE HOLDINGS LT,474636078,,AU0000130569,Q3734L102,AUD,AU,,F,e4223721,1
STK,FAL,ASX,FAL,FALCON METALS LTD/AUSTRALIA,532600611,,AU0000187569,Q3R899101,AUD,AU,T,F,e4596390,1
